product_name,product_price,image_url,mega_category,main_category,sub_category,mega_category_url,main_category_url,sub_category_url
Förvaring - Mini - Mustard,69.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-mini-mustard-1304-93602,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Fövaring - Midi -Mustard,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/fvaring-midi-mustard-1304-93601,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Midi - Almond,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-midi-almond-1304-36115,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Midi - Coconut,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-midi-coconut-1304-36101,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Mini - Babypink,69.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-mini-babypink-1304-34321,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Midi - Taupe,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-midi-taupe-1304-34320,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Midi - Boulder,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-midi-boulder-1304-32959,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Midi - Yellow,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-midi-yellow-1304-32957,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Mini - Warm taupe,69.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-mini-warm-taupe-1304-32921,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Förvaring - Midi - Milk tea,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/frvaring-midi-milk-tea-1304-32912,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
